City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
325,Sigli,ID,78.08,moderate rain,5.3848,95.9609,Losmen Dua Mali
326,Lorengau,PG,81.48,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
329,Manggar,ID,79.47,broken clouds,-2.8833,108.2667,Guest Hotel
334,Ixtapa,MX,80.01,scattered clouds,20.7,-105.2,Container Inn Puerto Vallarta
335,Sombrio,BR,77.67,overcast clouds,-29.1139,-49.6167,Santa Rosa Do Sul
339,Port-Gentil,GA,84.2,light rain,-0.7193,8.7815,Fengshui Residence
343,Oussouye,SN,80.6,clear sky,12.485,-16.5469,Auberge du Routard
345,San Pedro,PH,77.0,few clouds,14.35,121.0167,OYO 412 Viewfort Venue
349,Bambous Virieux,MU,80.01,few clouds,-20.3428,57.7575,Casa Tia Villa
350,Kununurra,AU,80.6,light rain,-15.7667,128.7333,Hotel Kununurra
351,Santo Antonio Do Ica,BR,89.51,overcast clouds,-3.1022,-67.9397,Hotel Fogaça
352,Garissa,KE,87.93,scattered clouds,-0.4536,39.6401,Sharif Plaza Hotel
358,Champerico,GT,87.8,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
361,Vao,NC,77.04,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
377,Manavalakurichi,IN,84.2,haze,8.1333,77.3,Udaya Boys Hostel
388,Caranavi,BO,82.54,broken clouds,-15.8167,-67.55,Hotel Landivar
389,Bathsheba,BB,84.2,few clouds,13.2167,-59.5167,Atlantis Hotel
390,San Cristobal,VE,87.8,few clouds,7.7669,-72.225,Pirineos
393,Poum,NC,79.83,few clouds,-20.2333,164.0167,Gîte kajeon
399,Santa Rosa,PH,77.0,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
401,Grand-Santi,GF,80.22,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
403,Hambantota,LK,77.74,overcast clouds,6.1241,81.1185,Bungalow 63
405,Koumac,NC,76.21,clear sky,-20.5667,164.2833,Le Monitel
408,Port Blair,IN,78.85,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
412,Lakatoro,VU,78.42,clear sky,-16.0999,167.4164,Lakatoro Palm Lodge
413,Maragogi,BR,84.27,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
418,Ancud,CL,77.0,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
419,Chirilagua,SV,87.8,clear sky,13.2203,-88.1386,Hogar De Espera Materno
424,Hatillo,PR,88.0,few clouds,18.4863,-66.8254,Hotel Parador El Buen Cafe
454,Teluk Nibung,ID,75.94,broken clouds,3.0010000000000003,99.8164,Hotel Assyifa
460,Noumea,NC,77.0,clear sky,-22.2763,166.4572,Hôtel Le Lagon
461,Itarema,BR,86.99,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
462,Kendari,ID,76.42,overcast clouds,-3.945,122.4989,Hotel Wixel
466,El Vigia,VE,84.04,overcast clouds,8.6219,-71.6506,Liceo Bolivariano 19 De Abril
467,Mahibadhoo,MV,81.05,scattered clouds,3.7833,72.9667,Omadhoo Inn
468,Saint-Pierre,RE,80.6,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
470,Luanda,AO,80.6,few clouds,-8.8368,13.2343,EPIC SANA Luanda
480,Salalah,OM,75.2,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
481,Pisco,PE,75.99,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
484,Pochutla,MX,84.2,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
492,Utete,TZ,75.54,scattered clouds,-7.986000000000001,38.758,River View Lodge
495,Omboue,GA,79.74,moderate rain,-1.5746,9.2618,Hotel Olako
496,Ternate,ID,79.88,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
499,Santa Maria,BR,78.98,clear sky,-29.6842,-53.8069,Hotel Morotin
501,Sao Joao Da Barra,BR,75.2,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
508,Morondava,MG,83.46,light rain,-20.2833,44.2833,La Case Bambou
511,Ovalle,CL,82.74,scattered clouds,-30.5983,-71.2003,Hotel Altos de Tuqui
512,Sola,VU,81.72,clear sky,-13.8833,167.55,Leumerus Bungalows
517,Matara,LK,76.17,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
518,Balsas,BR,78.76,overcast clouds,-7.5325,-46.0356,Novo Hotel
519,Vanimo,PG,76.98,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
520,Savannah Bight,HN,86.0,clear sky,16.45,-85.85,Villa on Dunbar Rock
525,Florianopolis,BR,82.4,clear sky,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
526,Sao Raimundo Das Mangabeiras,BR,84.2,overcast clouds,-7.0219,-45.4811,Hotel Tropical
530,Mumford,GH,81.64,scattered clouds,5.2618,-0.759,Spanish Villa
535,Otacilio Costa,BR,77.61,clear sky,-27.4831,-50.1219,Hotel Daieli
545,Iracoubo,GF,79.32,overcast clouds,5.4802,-53.2011,Le Gite D Iracoubo
549,Rio Claro,BR,86.0,scattered clouds,-22.4114,-47.5614,Hotel Vivendas Rio Claro by Atlantica
553,Moranbah,AU,76.41,overcast clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
554,Tchaourou,BJ,88.81,overcast clouds,8.8865,2.5975,SAFIR HOTEL
559,Alta Floresta,BR,80.6,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
563,Bodden Town,KY,86.0,scattered clouds,19.2833,-81.25,Will T Place
564,Luwuk,ID,77.74,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
565,Chincha Alta,PE,75.99,broken clouds,-13.4099,-76.1323,Casa Andina Standard Chincha
570,Waingapu,ID,77.95,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
571,Padang,ID,75.2,few clouds,-0.9492,100.3543,Mercure Padang
578,Auki,SB,78.84,moderate rain,-8.7676,160.7034,Auki Motel
583,Tubuala,PA,87.8,scattered clouds,9.5167,-79.0333,Río Nabagana
584,Buchanan,LR,78.8,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
589,Melo,UY,81.84,clear sky,-32.3667,-54.1833,Hotel Juana
