City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
538,Tilichiki,60.4667,166.1,6.49,93,100,12.91,RU,2021-02-06 15:43:37
539,Emba,48.8264,58.1442,15.42,94,100,20.2,KZ,2021-02-06 15:38:53
540,Ocos,14.5094,-92.1933,80.6,73,1,4.61,GT,2021-02-06 15:43:37
541,Phultala,22.7,89.5167,66.58,46,0,4.25,BD,2021-02-06 15:43:37
542,Gat,31.61,34.7642,64.99,100,21,5.12,IL,2021-02-06 15:43:37
543,Port Macquarie,-31.4333,152.9167,71.01,99,77,6.24,AU,2021-02-06 15:39:08
544,Sakakah,29.9697,40.2064,59.0,55,0,12.66,SA,2021-02-06 15:43:37
545,Terney,45.0503,136.6092,4.64,87,34,9.57,RU,2021-02-06 15:43:37
546,Zhezkazgan,47.8043,67.7144,35.55,97,100,23.98,KZ,2021-02-06 15:43:37
547,Seymchan,62.8833,152.4333,-23.24,85,94,1.63,RU,2021-02-06 15:43:37
548,Viedma,-40.8135,-62.9967,78.01,47,0,14.88,AR,2021-02-06 15:43:37
549,Tomatlan,19.9333,-105.25,80.04,55,89,1.52,MX,2021-02-06 15:38:38
550,Noumea,-22.2763,166.4572,78.01,94,75,2.3,NC,2021-02-06 15:41:20
551,Namibe,-15.1961,12.1522,75.43,70,25,12.15,AO,2021-02-06 15:43:37
552,Port Hardy,50.6996,-127.4199,44.6,93,90,2.3,CA,2021-02-06 15:40:13
553,Coruripe,-10.1256,-36.1756,87.64,56,93,18.01,BR,2021-02-06 15:43:38
554,Dallas,32.7668,-96.7836,46.4,76,90,12.66,US,2021-02-06 15:41:17
555,Terrace Bay,48.7834,-87.1,-2.2,65,90,9.22,CA,2021-02-06 15:43:38
556,Hamilton,39.1834,-84.5333,28.0,54,1,3.44,US,2021-02-06 15:41:42
557,Nexo,55.0607,15.1306,28.4,64,90,8.05,DK,2021-02-06 15:43:38
558,Namtsy,62.7161,129.6658,-40.0,60,99,4.47,RU,2021-02-06 15:40:21
559,Villamontes,-21.25,-63.5,88.86,36,60,8.21,BO,2021-02-06 15:43:38
560,Siena,43.2167,11.4,60.01,65,12,3.58,IT,2021-02-06 15:43:38
561,Maua,-23.6678,-46.4614,77.0,53,75,8.05,BR,2021-02-06 15:43:38
562,Tikhvin,59.6451,33.5294,2.73,93,100,7.94,RU,2021-02-06 15:43:38
563,Stokmarknes,68.5646,14.9108,28.0,87,82,16.89,NO,2021-02-06 15:43:38
564,Athabasca,54.7169,-113.2854,-32.8,66,97,2.3,CA,2021-02-06 15:43:38
565,Mindelo,16.8901,-24.9804,75.2,53,40,28.77,CV,2021-02-06 15:43:07
566,Parainen,60.3067,22.301,23.0,79,75,8.05,FI,2021-02-06 15:43:39
567,Ornskoldsvik,63.2909,18.7153,23.0,86,90,9.22,SE,2021-02-06 15:43:39
